"name","year_start","year_end","years_tot","birth_date","position","height","weight","college"
"Mickey Rottner",1947,1948,2,1919-03-23,"G",70,180,"Loyola University of Chicago"
"Dan Roundfield",1976,1987,12,1953-05-26,"F-C",80,205,"Central Michigan University"
"Giff Roux",1947,1949,3,1923-06-28,"F-C",77,195,"University of Kansas"
"Ron Rowan",1987,1987,1,1962-04-23,"G",77,200,"St. John's University"
"Curtis Rowe",1972,1979,8,1949-07-02,"F",79,225,"University of California, Los Angeles"
"Jim Rowinski",1989,1990,2,1961-01-04,"F-C",80,250,"Purdue University"
"Derrick Rowland",1986,1986,1,1959-06-21,"G",77,195,"State University of New York at Potsdam"
"Brian Rowsom",1988,1990,3,1965-10-23,"F",81,220,"University of North Carolina at Wilmington"
"Brandon Roy",2007,2013,7,1984-07-23,"G",78,215,"University of Washington"
"Donald Royal",1990,1998,9,1966-05-22,"F",80,210,"University of Notre Dame"
"Reggie Royals",1975,1975,1,1950-09-18,"C",82,200,"Florida State University"
"Bob Royer",1950,1950,1,1927-10-15,"G",70,155,"Indiana State University"
"Clifford Rozier",1995,1998,4,1972-10-31,"C-F",83,245,"University of Louisville"
"Terry Rozier",2016,2018,3,1994-03-17,"G",74,190,"University of Louisville"
"Ricky Rubio",2012,2018,7,1990-10-21,"G",76,194,"No College"
"Guy Rucker",2003,2003,1,1977-07-27,"F-C",83,265,"University of Iowa"
"Delaney Rudd",1990,1993,4,1962-11-08,"G",74,180,"Wake Forest University"
"John Rudd",1979,1979,1,1955-08-07,"F",79,230,"McNeese State University"
"Damjan Rudez",2015,2017,3,1986-06-17,"F",82,228,"No College"
"John Rudometkin",1963,1965,3,1940-06-06,"F",78,205,"University of Southern California"
"Michael Ruffin",2000,2009,10,1977-01-21,"F",81,246,"University of Tulsa"
"Trevor Ruffin",1995,1996,2,1970-09-26,"G",73,185,"University of Hawaii"
"Paul Ruffner",1971,1976,6,1948-10-15,"C-F",82,225,"Brigham Young University"
"Joe Ruklick",1960,1962,3,1938-08-03,"F-C",81,220,"Northwestern University"
"Jeff Ruland",1982,1993,12,1958-12-16,"C-F",82,240,"Iona College"
"Bob Rule",1968,1975,8,1944-06-29,"C-F",81,220,"Colorado State University"
"Jerry Rullo",1947,1950,4,1923-06-23,"G",70,165,"Temple University"
"Stefano Rusconi",1996,1996,1,1968-10-02,"C-F",81,240,"No College"
"Brandon Rush",2009,2017,9,1985-07-07,"G-F",78,220,"University of Kansas"
"Kareem Rush",2003,2010,8,1980-10-30,"G",78,215,"University of Missouri"
"Bill Russell",1957,1969,13,1934-02-12,"C",82,215,"University of San Francisco"
"Bryon Russell",1994,2006,13,1970-12-31,"F",79,225,"California State University, Long Beach"
"Campy Russell",1975,1985,11,1952-01-12,"F",80,215,"University of Michigan"
"Cazzie Russell",1967,1978,12,1944-06-07,"F-G",77,218,"University of Michigan"
"D'Angelo Russell",2016,2018,3,1996-02-23,"G",77,195,"Ohio State University"
"Frank Russell",1973,1973,1,1949-04-17,"G",75,180,"University of Detroit Mercy"
"Pierre Russell",1972,1973,2,1949-12-13,"F-G",76,190,"University of Kansas"
"Rubin Russell",1968,1968,1,1944-11-07,"G",74,180,"University of North Texas"
"Walker Russell",1983,1988,6,1960-10-26,"G",77,195,"Western Michigan University"
"Walker Russell",2012,2012,1,1982-10-06,"G",72,170,"Jacksonville State University"
"Arvydas Sabonis",1996,2003,8,1964-12-19,"C",87,279,"No College"
"Domantas Sabonis",2017,2018,2,1996-05-03,"F-C",83,240,"Gonzaga University"
"Robert Sacre",2013,2016,4,1989-06-06,"C",84,270,"Gonzaga University"
"Ed Sadowski",1947,1950,4,1917-07-11,"C",77,240,"Seton Hall University"
"Kenny Sailors",1947,1951,5,1921-01-14,"G",70,175,"University of Wyoming"
"John Salley",1987,2000,14,1964-05-16,"F-C",83,230,"Georgia Institute of Technology"
"John Salmons",2003,2015,13,1979-12-12,"G",79,210,"University of Miami"
"Al Salvadori",1968,1968,1,1945-05-06,"F",81,220,"University of South Carolina"
"Kevin Salvadori",1997,1998,2,1970-12-30,"C",84,231,"University of North Carolina"
"Soumaila Samake",2001,2003,3,1978-03-18,"C",84,230,"No College"
"Cheikh Samb",2008,2009,2,1984-10-22,"C",85,245,"No College"
"JaKarr Sampson",2015,2018,4,1993-03-20,"G-F",81,214,"St. John's University"
"Jamal Sampson",2003,2007,5,1983-05-15,"F-C",83,235,"University of California"
"Ralph Sampson",1984,1992,9,1960-07-07,"C-F",88,228,"University of Virginia"
"Samardo Samuels",2011,2013,3,1989-01-09,"F",81,260,"University of Louisville"
"Pepe Sanchez",2001,2003,3,1977-05-08,"G",76,195,"Temple University"
"Al Sanders",1973,1973,1,1950-01-01,"F",79,240,"Louisiana State University"
"Frankie Sanders",1979,1981,3,1957-01-23,"F-G",78,200,"Southern University and A&M College"
"Jeff Sanders",1990,1993,4,1966-01-14,"F",80,225,"Georgia Southern University"
"Larry Sanders",2011,2017,7,1988-11-21,"C-F",83,235,"Virginia Commonwealth University"
"Melvin Sanders",2006,2006,1,1981-01-03,"G-F",77,210,"Oklahoma State University"
"Mike Sanders",1983,1993,11,1960-05-07,"F-G",78,210,"University of California, Los Angeles"
"Tom Sanders",1961,1973,13,1938-11-08,"F",78,210,"New York University"
"Ron Sanford",1972,1972,1,1946-06-11,"F",81,215,"University of New Mexico"
"Daniel Santiago",2001,2005,5,1976-06-24,"C",85,256,"Saint Vincent College"
"Bob Santini",1956,1956,1,1935-02-17,"F",77,190,"Iona College"
"Wayne Sappleton",1985,1985,1,1960-11-17,"F",81,215,"Loyola University of Chicago"
"Dario Saric",2017,2018,2,1994-04-08,"F",82,223,"No College"
"Jason Sasser",1997,1999,3,1974-01-13,"F",79,225,"Texas Tech University"
"Jeryl Sasser",2002,2003,2,1979-02-13,"G",78,200,"Southern Methodist University"
"Tomas Satoransky",2017,2018,2,1991-10-30,"G",79,210,"No College"
"Kenny Satterfield",2002,2003,2,1981-04-10,"G",74,186,"University of Cincinnati"
"Pep Saul",1950,1955,6,1924-02-16,"G-F",74,185,"Seton Hall University"
"Woody Sauldsberry",1958,1966,9,1934-07-11,"F-C",79,220,"Texas Southern University"
"Glynn Saulters",1969,1969,1,1945-02-10,"G",74,175,"University of Louisiana at Monroe"
"Fred Saunders",1975,1978,4,1951-06-13,"F",79,210,"Syracuse University"
"Don Savage",1952,1957,6,1928-04-09,"F-G",75,205,"LeMoyne College"
"Predrag Savovic",2003,2003,1,1976-05-21,"G",78,225,"University of Hawaii"
"Alan Sawyer",1951,1951,1,1928-01-01,"F",77,195,"University of California, Los Angeles"
"Brian Scalabrine",2002,2012,11,1978-03-18,"F",81,241,"University of Southern California"
"Alex Scales",2006,2006,1,1978-07-03,"G",76,185,"University of Oregon"
"DeWayne Scales",1981,1984,4,1958-12-28,"F",80,208,"Louisiana State University"
"Frank Schade",1973,1973,1,1950-01-22,"G",73,170,"University of Wisconsin-Eau Claire"
"Ben Schadler",1948,1948,1,1924-03-09,"F",72,185,"Northwestern University"
"Herm Schaefer",1949,1950,2,1918-12-20,"G-F",72,175,"Indiana University"
"Billy Schaeffer",1974,1976,3,1951-12-11,"F",77,200,"St. John's University"
"Bob Schafer",1956,1957,2,,"G",75,195,"Villanova University"
"Ben Scharnus",1947,1949,3,1917-12-11,"F",74,173,"Seton Hall University"
"Marv Schatzman",1950,1950,1,1927-02-18,"F",77,200,"Saint Louis University"
"Fred Schaus",1950,1954,5,1925-06-30,"F",77,205,"West Virginia University"
"Danny Schayes",1982,1999,18,1959-05-10,"C-F",83,235,"Syracuse University"
"Dolph Schayes",1950,1964,15,1928-05-19,"F-C",80,220,"New York University"
"Ossie Schectman",1947,1947,1,1919-03-30,"G",72,175,"Long Island University"
"Steve Scheffler",1991,1997,7,1967-09-03,"C-F",81,250,"Purdue University"
"Tom Scheffler",1985,1985,1,1954-10-27,"C",83,240,"Purdue University"
"Dave Schellhase",1967,1968,2,1944-10-14,"G",75,205,"Purdue University"
"Luke Schenscher",2006,2007,2,1982-12-31,"C",85,255,"Georgia Institute of Technology"
"Herb Scherer",1951,1952,2,1928-12-21,"C",81,212,"Long Island University"
"Dwayne Schintzius",1991,1999,9,1968-10-14,"C",85,260,"University of Florida"
"Dale Schlueter",1969,1978,10,1945-11-12,"C",82,225,"Colorado State University"
"Otto Schnellbacher",1949,1949,1,1923-04-15,"F-G",76,185,"University of Kansas"
"Dick Schnittker",1951,1958,8,1928-05-27,"F",77,200,"Ohio State University"
"Russ Schoene",1983,1989,7,1960-04-16,"F-C",82,210,"University of Tennessee at Chattanooga"
"Dave Scholz",1970,1970,1,1948-04-12,"F",80,220,"University of Illinois at Urbana-Champaign"
"Milt Schoon",1947,1950,4,1922-02-25,"C",79,230,"Valparaiso University"
"Detlef Schrempf",1986,2001,16,1963-01-21,"F-C",81,214,"University of Washington"
"Dennis Schroder",2014,2018,5,1993-09-15,"G",73,172,"No College"
"Howie Schultz",1950,1953,4,1922-07-03,"C-F",78,200,"Hamline University"
"Dick Schulz",1947,1950,4,1917-01-03,"F-G",74,192,"University of Wisconsin"
"Roger Schurig",1968,1968,1,1942-04-03,"G",75,185,"Vanderbilt University"
"John Schweitz",1985,1987,3,1960-04-19,"G",78,210,"University of Richmond"
"Luis Scola",2008,2017,10,1980-04-30,"F",81,240,"No College"
"Fred Scolari",1947,1955,9,1922-03-01,"G",70,180,"University of San Francisco"
"Alvin Scott",1978,1985,8,1955-09-14,"F-G",79,185,"Oral Roberts University"
"Brent Scott",1997,1997,1,1971-06-15,"F-C",82,250,"Rice University"
"Byron Scott",1984,1997,14,1961-03-28,"G",75,195,"Arizona State University"
"Charlie Scott",1971,1980,10,1948-12-15,"G-F",77,175,"University of North Carolina"
"Dennis Scott",1991,2000,10,1968-09-05,"F",80,229,"Georgia Institute of Technology"
"James Scott",1997,1997,1,1972-06-06,"F",78,180,"St. John's University"
"Mike Scott",2013,2018,6,1988-07-16,"F",80,237,"University of Virginia"
"Ray Scott",1962,1972,11,1938-07-12,"F-C",81,215,"University of Portland"
"Shawnelle Scott",1997,2002,6,1972-06-16,"C",82,250,"St. John's University"
"Willie Scott",1970,1970,1,1947-05-22,"F",77,210,"Alabama State University"
"Paul Scranton",1968,1968,1,1944-04-30,"F",77,230,"California State Polytechnic University, Pomona"
"Carey Scurry",1986,1988,3,1962-12-04,"F",79,188,"Long Island University"
"Bruce Seals",1974,1978,5,1953-06-18,"F",80,210,"Xavier University of Louisiana"
"Shea Seals",1998,1998,1,1975-08-26,"G",77,210,"University of Tulsa"
"Malik Sealy",1993,2000,8,1970-02-01,"G",80,190,"St. John's University"
"Ed Searcy",1976,1976,1,1952-04-17,"F",78,210,"St. John's University"
"Kenny Sears",1956,1964,9,1933-08-17,"F",81,198,"Santa Clara University"
"Wayne See",1950,1950,1,1923-11-03,"G",75,190,"Northern Arizona University"
"Thabo Sefolosha",2007,2018,12,1984-05-02,"G-F",79,220,"No College"
"Rony Seikaly",1989,1999,11,1965-05-10,"C",83,230,"Syracuse University"
"Glen Selbo",1950,1950,1,1926-03-29,"G-F",75,196,"University of Wisconsin"
"Josh Selby",2012,2013,2,1991-03-27,"G",74,183,"University of Kansas"
"Wayne Selden",2017,2018,2,1994-09-30,"G-F",77,230,"University of Kansas"
"Brad Sellers",1987,1993,7,1962-12-17,"C-F",84,210,"Ohio State University"
"Phil Sellers",1977,1977,1,1953-11-20,"F-G",76,195,"Rutgers University"
"Rollie Seltz",1950,1950,1,1924-01-25,"G-F",70,165,"Hamline University"
"Lester Selvage",1968,1970,3,1943-03-07,"G",73,175,"Truman State University"
"Frank Selvy",1955,1964,10,1932-11-09,"G-F",75,180,"Furman University"
"Jim Seminoff",1947,1950,4,1922-09-01,"G-F",74,190,"University of Southern California"
"Mouhamed Sene",2007,2009,3,1986-05-12,"C-F",83,230,"No College"
"George Senesky",1947,1954,8,1922-04-04,"G",74,179,"Saint Joseph's University"
"Kevin Seraphin",2011,2017,7,1989-12-07,"F",81,285,"No College"
"Ansu Sesay",2002,2005,4,1976-07-29,"F",81,225,"University of Mississippi"
"Ramon Sessions",2008,2018,11,1986-04-11,"G",75,190,"University of Nevada, Reno"
"Ha Seung-Jin",2005,2006,2,1985-08-04,"C",87,305,"No College"
"Tom Sewell",1985,1985,1,1962-03-11,"G",77,185,"Lamar University"
"Paul Seymour",1948,1960,13,1928-01-30,"G-F",73,180,"University of Toledo"
"Nick Shaback",1947,1947,1,1918-09-10,"G",71,180,"No College"
"Lynn Shackelford",1970,1970,1,1947-08-27,"F",77,190,"University of California, Los Angeles"
"Charles Shackleford",1989,1999,11,1966-04-22,"F-C",82,225,"North Carolina State University"
"Carl Shaeffer",1950,1951,2,1924-10-25,"F-G",75,185,"University of Alabama"
"Lee Shaffer",1962,1964,3,1939-02-23,"F",79,220,"University of North Carolina"
"Mustafa Shakur",2011,2014,4,1984-08-18,"G",75,190,"University of Arizona"
"God Shammgod",1998,1998,1,1976-04-29,"G",72,169,"Providence College"
"Earl Shannon",1947,1949,3,1921-11-23,"G-F",71,170,"University of Rhode Island"
"Howie Shannon",1949,1950,2,1923-06-10,"G-F",74,175,"Kansas State University"
"Chuck Share",1952,1960,9,1927-03-14,"C",83,235,"Bowling Green State University"
"Bill Sharman",1951,1961,11,1926-05-25,"G",73,175,"University of Southern California"
"Walter Sharpe",2009,2009,1,1986-07-18,"F",81,245,"University of Alabama at Birmingham"
"John Shasky",1989,1991,3,1964-07-31,"C",83,235,"University of Minnesota"
"Ron Shavlik",1957,1958,2,1933-12-04,"F",80,200,"North Carolina State University"
"Brian Shaw",1989,2003,15,1966-03-22,"G",78,190,"University of California, Santa Barbara"
"Casey Shaw",1999,1999,1,1975-07-20,"C",83,260,"University of Toledo"
"Bob Shea",1947,1947,1,1924-09-11,"F",74,194,"University of Rhode Island"
"Fred Sheffield",1947,1947,1,1923-11-05,"F",74,165,"University of Utah"
"Craig Shelton",1981,1982,2,1957-05-01,"F",79,210,"Georgetown University"
"Lonnie Shelton",1977,1986,10,1955-10-19,"F-C",80,240,"Oregon State University"
"Tornike Shengelia",2013,2014,2,1991-10-05,"F",81,217,"No College"
"Billy Shepherd",1973,1975,3,1949-11-18,"G",70,160,"Butler University"
"Jeffrey Sheppard",1999,1999,1,1974-09-29,"G",75,190,"University of Kentucky"
"Steve Sheppard",1978,1979,2,1954-03-21,"F",78,215,"University of Maryland"
"Ed Sherod",1983,1983,1,1959-09-13,"G",74,170,"Virginia Commonwealth University"
"Charley Shipp",1950,1950,1,1913-12-03,"G-F",73,200,"Catholic University of America"
"Paul Shirley",2003,2005,3,1977-12-23,"F-C",82,230,"Iowa State University"
"Gene Short",1976,1976,1,1953-08-07,"F",78,200,"Jackson State University"
"Purvis Short",1979,1990,12,1957-07-02,"F-G",79,210,"Jackson State University"
"Dexter Shouse",1990,1990,1,1963-03-24,"G",74,200,"University of South Alabama"
"Dick Shrider",1949,1949,1,1923-02-07,"G",74,190,"Ohio University"
"Gene Shue",1955,1964,10,1931-12-18,"G",74,170,"University of Maryland"
"John Shumate",1976,1981,6,1952-04-06,"F-C",81,235,"University of Notre Dame"
"Iman Shumpert",2012,2018,7,1990-06-26,"G",77,220,"Georgia Institute of Technology"
"Alexey Shved",2013,2015,3,1988-12-16,"G",78,190,"No College"
"Pascal Siakam",2017,2018,2,1994-02-04,"F",81,230,"New Mexico State University"
"Sam Sibert",1973,1973,1,1949-02-11,"F",79,215,"Kentucky State University"
"Mark Sibley",1974,1974,1,1950-11-13,"G",74,175,"Northwestern University"
"Jerry Sichting",1981,1990,10,1956-11-29,"G",73,168,"Purdue University"
"Donald Sidle",1969,1972,4,1946-06-21,"F-C",80,215,"University of Oklahoma"
"Larry Siegfried",1964,1972,9,1939-05-22,"F",75,190,"Ohio State University"
"Ralph Siewert",1947,1947,1,1923-12-31,"C",85,230,"Dakota Wesleyan University"
"Jack Sikma",1978,1991,14,1955-11-14,"C-F",83,230,"Illinois Wesleyan University"
"James Silas",1973,1982,10,1949-02-11,"G",73,180,"Stephen F. Austin State University"
"Paul Silas",1965,1980,16,1943-07-12,"F-C",79,220,"Creighton University"
"Xavier Silas",2012,2012,1,1988-01-22,"G",77,205,"Northern Illinois University"
"Garret Siler",2011,2011,1,1986-10-25,"C",83,305,"Augusta State University"
"Mike Silliman",1971,1971,1,1944-05-05,"F",78,225,"United States Military Academy"
"Wayne Simien",2006,2007,2,1983-03-09,"F",81,255,"University of Kansas"
"Ben Simmons",2018,2018,1,1996-07-20,"G-F",82,230,"Louisiana State University"
"Bobby Simmons",2002,2012,11,1980-06-02,"G-F",79,210,"DePaul University"
"Cedric Simmons",2007,2009,3,1986-01-03,"F",81,235,"North Carolina State University"
"Connie Simmons",1947,1956,10,1925-03-15,"C-F",80,222,"No College"
"Grant Simmons",1968,1969,2,1943-03-07,"G",75,190,"University of Nebraska"
"Johnny Simmons",1947,1947,1,1924-07-07,"G",73,184,"New York University"
"Jonathon Simmons",2016,2018,3,1989-09-14,"G-F",78,195,"University of Houston"
"Kobi Simmons",2018,2018,1,1997-07-04,"G",77,166,"University of Arizona"
"Lionel Simmons",1991,1997,7,1968-11-14,"F",79,210,"La Salle University"
"Miles Simon",1999,1999,1,1975-11-21,"G",75,202,"University of Arizona"
"Walter Simon",1968,1974,7,1939-12-01,"F-G",78,200,"Benedict College"
"Dickey Simpkins",1995,2002,8,1972-04-06,"F",81,248,"Providence College"
"Ralph Simpson",1971,1980,10,1949-08-10,"G-F",77,200,"Michigan State University"
"Alvin Sims",1999,1999,1,1974-10-18,"G",76,235,"University of Louisville"
"Bob Sims",1962,1968,7,1938-10-09,"G-F",77,220,"Pepperdine University"
"Courtney Sims",2008,2009,2,1983-10-21,"C",82,245,"University of Michigan"
"Doug Sims",1969,1969,1,1943-06-29,"F",79,195,"Kent State University"
"Henry Sims",2013,2016,4,1990-03-27,"C",82,248,"Georgetown University"
"Scott Sims",1978,1978,1,1955-04-18,"G",73,170,"University of Missouri"
"Kyle Singler",2013,2018,6,1988-05-04,"F",80,228,"Duke University"
"Sean Singletary",2009,2009,1,1985-09-06,"G",72,185,"University of Virginia"
"Chris Singleton",2012,2014,3,1989-11-21,"F",80,230,"Florida State University"
"James Singleton",2006,2012,7,1981-07-20,"F",80,216,"Murray State University"
"McKinley Singleton",1987,1987,1,1961-10-29,"G",77,175,"University of Alabama at Birmingham"
"Zeke Sinicola",1952,1954,3,1929-01-25,"G",70,165,"Niagara University"
"Charlie Sitton",1985,1985,1,1962-07-03,"F",80,210,"Oregon State University"
"Peyton Siva",2014,2014,1,1990-10-24,"G",72,185,"University of Louisville"
"Scott Skiles",1987,1996,10,1964-03-05,"G",73,180,"Michigan State University"
"Al Skinner",1975,1980,6,1952-06-16,"G",75,190,"University of Massachusetts Amherst"
"Brian Skinner",1999,2012,14,1976-05-19,"F",81,255,"Baylor University"
"Tal Skinner",1975,1976,2,1952-09-10,"F-G",77,195,"University of Maryland Eastern Shore"
"Whitey Skoog",1952,1957,6,1926-11-02,"G",71,180,"University of Minnesota"
"Jeff Slade",1963,1963,1,1941-03-01,"F",78,220,"Kenyon College"
"Reggie Slater",1995,2003,9,1970-08-27,"F",79,215,"University of Wyoming"
"Jim Slaughter",1952,1952,1,1928-05-13,"C",83,210,"University of South Carolina"
"Jose Slaughter",1983,1983,1,1960-09-09,"G",77,205,"University of Portland"
"Tamar Slay",2003,2005,3,1980-04-02,"G",80,215,"Marshall University"
"Donald Sloan",2012,2016,5,1988-01-15,"G",75,205,"Texas A&M University"
"Jerry Sloan",1966,1976,11,1942-03-28,"G-F",77,195,"University of Evansville"
"Uros Slokar",2007,2007,1,1983-05-14,"F",82,238,"No College"
"Tom Sluby",1985,1985,1,1962-02-18,"G",76,200,"University of Notre Dame"
"Keith Smart",1989,1989,1,1964-09-21,"G",73,175,"Indiana University"
"Marcus Smart",2015,2018,4,1994-03-06,"G",76,220,"Oklahoma State University"
"Belus Smawley",1947,1952,6,1918-03-20,"G-F",73,195,"Appalachian State University"
"Jack Smiley",1949,1950,2,1922-12-22,"F-G",75,190,"University of Illinois at Urbana-Champaign"
"Adrian Smith",1962,1972,11,1936-10-05,"G",73,180,"University of Kentucky"
"Al Smith",1972,1976,5,1947-01-15,"G",73,185,"Bradley University"
"Bill Smith",1962,1962,1,1939-04-26,"G-F",77,190,"Saint Peter's College"
"Bingo Smith",1970,1980,11,1946-02-26,"F-G",77,195,"University of Tulsa"
"Bobby Smith",1960,1962,3,1937-08-20,"G",76,190,"West Virginia University"
"Charles Smith",1989,1997,9,1965-07-16,"F-C",82,230,"University of Pittsburgh"
"Charles Smith",1990,1996,7,1967-11-29,"G",73,160,"Georgetown University"
"Charles Smith",1998,2006,9,1975-08-22,"G",76,194,"University of New Mexico"
"Chris Smith",1993,1995,3,1970-05-17,"G",75,190,"University of Connecticut"
"Chris Smith",2014,2014,1,1987-10-13,"G",74,200,"University of Louisville"
"Clinton Smith",1987,1991,5,1964-01-19,"F",78,210,"Cleveland State University"
"Craig Smith",2007,2012,6,1983-11-10,"F",79,250,"Boston College"
"Deb Smith",1947,1947,1,1920-01-07,"F",75,180,"University of Utah"
"Dennis Smith",2018,2018,1,1997-11-25,"G",75,195,"North Carolina State University"
"Derek Smith",1983,1991,9,1961-11-01,"G-F",78,205,"University of Louisville"
"Don Smith",1949,1949,1,1920-07-27,"G-F",74,190,"University of Minnesota"
"Don Smith",1975,1975,1,1951-10-10,"G",72,160,"University of Dayton"
"Donta Smith",2005,2006,2,1983-11-27,"G-F",79,215,"Southeastern Illinois College"
"Doug Smith",1992,1996,5,1969-09-17,"F",82,220,"University of Missouri"
"Ed Smith",1954,1954,1,1929-07-05,"F",78,180,"Harvard University"
"Elmore Smith",1972,1979,8,1949-05-09,"C",84,250,"Kentucky State University"
"Garfield Smith",1971,1973,3,1945-11-18,"C-F",81,235,"Eastern Kentucky University"
"Greg Smith",1969,1976,8,1947-01-28,"F",77,195,"Western Kentucky University"
"Greg Smith",2012,2016,5,1991-01-08,"C",82,250,"California State University, Fresno"
"Ish Smith",2011,2018,8,1988-07-05,"G",72,175,"Wake Forest University"
"J.R. Smith",2005,2018,14,1985-09-09,"G-F",78,225,"No College"
"Jabari Smith",2001,2005,5,1977-02-12,"C",83,250,"Louisiana State University"
"Jason Smith",2008,2018,11,1986-03-02,"F-C",84,245,"Colorado State University"
"Jerry Smith",2012,2012,1,1987-09-26,"G",74,190,"University of Louisville"
"Jim Smith",1982,1983,2,1958-04-12,"F",81,225,"Ohio State University"
"Joe Smith",1996,2011,16,1975-07-26,"F",82,225,"University of Maryland"
"John Smith",1969,1970,2,1944-05-24,"C",84,235,"University of Southern Colorado"
"Josh Smith",2005,2018,14,1985-12-05,"F",81,225,"No College"
"Keith Smith",1987,1987,1,1964-03-09,"G",75,180,"Loyola Marymount University"
"Ken Smith",1976,1976,1,1953-07-12,"F",79,185,"University of Tulsa"
"Kenny Smith",1988,1997,10,1965-03-08,"G",75,170,"University of North Carolina"
"LaBradford Smith",1992,1994,3,1969-04-03,"G",75,200,"University of Louisville"
"Larry Smith",1981,1993,13,1958-01-18,"F-C",80,215,"Alcorn State University"
"Leon Smith",2002,2004,3,1980-11-02,"C",82,235,"No College"
"Michael Smith",1990,1995,6,1965-05-19,"F",82,225,"Brigham Young University"
"Michael Smith",1995,2001,7,1972-03-28,"F",80,230,"Providence College"
"Mike Smith",2001,2001,1,1976-04-15,"F",80,195,"University of Louisiana at Monroe"
"Nolan Smith",2012,2013,2,1988-07-25,"G",74,185,"Duke University"
"Otis Smith",1987,1992,6,1964-01-30,"G-F",77,210,"Jacksonville University"
"Pete Smith",1973,1973,1,,"F",78,205,"Valdosta State University"
"Phil Smith",1975,1983,9,1952-04-22,"G",76,185,"University of San Francisco"
"Randy Smith",1972,1983,12,1948-12-12,"G-F",75,180,"State University of New York College at Buffalo"
"Reggie Smith",1993,1994,2,1970-08-21,"C",82,240,"Texas Christian University"
"Robert Smith",1978,1985,8,1955-03-10,"G",71,165,"University of Nevada, Las Vegas"
"Russ Smith",2015,2016,2,1991-04-19,"G",72,165,"University of Louisville"
"Sam Smith",1968,1971,4,1944-01-27,"F",79,230,"Kentucky Wesleyan College"
"Sam Smith",1979,1980,2,1955-01-08,"G",76,200,"University of Nevada, Las Vegas"
"Steve Smith",1992,2005,14,1969-03-31,"G",79,200,"Michigan State University"
"Steven Smith",2007,2007,1,1983-04-12,"F",80,235,"La Salle University"
"Stevin Smith",1997,1997,1,1972-01-24,"G",74,208,"Arizona State University"
"Theron Smith",2004,2005,2,1980-10-03,"F",80,225,"Ball State University"
"Tony Smith",1991,2001,11,1968-06-14,"G",75,185,"Marquette University"
"William Smith",1972,1973,2,1949-02-14,"C",84,220,"Syracuse University"
"Willie Smith",1977,1980,4,1953-10-26,"G",74,170,"University of Missouri"
"Rik Smits",1989,2000,12,1966-08-23,"C",88,250,"Marist College"
"Mike Smrek",1986,1992,7,1962-08-31,"C",84,250,"Canisius College"
"Joe Smyth",1954,1954,1,1929-05-22,"F",75,215,"Niagara University"
"Tony Snell",2014,2018,5,1991-11-10,"G-F",79,200,"University of New Mexico"
"Eric Snow",1996,2008,13,1973-04-24,"G",75,190,"Michigan State University"
"Dick Snyder",1967,1979,13,1944-02-01,"G-F",77,207,"Davidson College"
"Kirk Snyder",2005,2008,4,1983-06-05,"G",78,225,"University of Nevada, Reno"
"Chips Sobek",1950,1950,1,1920-02-10,"G-F",72,180,"University of Notre Dame"
"Ricky Sobers",1976,1986,11,1953-01-15,"G",75,198,"University of Nevada, Las Vegas"
"Ron Sobie",1957,1960,4,1934-09-21,"G",75,185,"DePaul University"
"Mike Sojourner",1975,1977,3,1953-10-16,"C-F",81,225,"University of Utah"
"Willie Sojourner",1972,1975,4,1948-09-10,"C-F",80,225,"Weber State University"
"Will Solomon",2002,2009,8,1978-07-20,"G",73,185,"Clemson University"
"Willie Somerset",1966,1969,4,1942-03-17,"G",68,170,"Duquesne University"
"Darius Songaila",2004,2011,8,1978-02-14,"F",81,248,"Wake Forest University"
"Dave Sorenson",1971,1973,3,1948-07-08,"F",80,225,"Ohio State University"
"James Southerland",2014,2014,1,1990-04-28,"F",80,215,"Syracuse University"
"Gino Sovran",1947,1947,1,1924-12-17,"F-G",74,175,"University of Detroit Mercy"
"Pape Sow",2005,2007,3,1981-11-22,"F",82,250,"California State University, Fullerton"
"Ken Spain",1971,1971,1,1946-10-06,"C",81,225,"University of Houston"
"Jim Spanarkel",1980,1984,5,1957-06-28,"G-F",77,190,"Duke University"
"Vassilis Spanoulis",2007,2007,1,1982-08-07,"G",76,195,"No College"
"Daniel Sparks",1969,1970,2,1945-04-17,"F",80,200,"Weber State University"
"Guy Sparrow",1958,1960,3,1932-11-02,"F",78,218,"University of Detroit Mercy"
"Rory Sparrow",1981,1992,12,1958-06-12,"G",74,175,"Villanova University"
"Odie Spears",1949,1957,9,1924-06-17,"G",77,205,"Western Kentucky University"
"Art Spector",1947,1950,4,1920-10-17,"F",76,200,"Villanova University"
"Marreese Speights",2009,2018,10,1987-08-04,"C-F",82,255,"University of Florida"
"Andre Spencer",1993,1994,2,1964-07-20,"F",78,210,"Northern Arizona University"
"Elmore Spencer",1993,1997,5,1969-12-06,"C",84,270,"University of Nevada, Las Vegas"
"Felton Spencer",1991,2002,12,1968-01-15,"C",84,265,"University of Louisville"
"Lou Spicer",1947,1947,1,1922-11-12,"F",74,195,"Syracuse University"
"Craig Spitzer",1968,1968,1,1945-12-18,"C",84,225,"Tulane University"
"Tiago Splitter",2011,2017,7,1985-01-01,"F-C",83,245,"No College"
"Art Spoelstra",1955,1958,4,1932-09-11,"C",81,220,"Western Kentucky University"
"Bruce Spraggins",1968,1968,1,,"F",77,188,"Virginia Union University"
