"name","year_start","year_end","years_tot","birth_date","position","height","weight","college"
"Easy Parham",1949,1951,3,1921-12-27,"F-G",75,200,"Texas Wesleyan University"
"Robert Parish",1977,1997,21,1953-08-30,"C",84,230,"Centenary College of Louisiana"
"Med Park",1956,1960,5,1933-04-11,"G-F",74,205,"University of Missouri"
"Anthony Parker",1998,2012,15,1975-06-19,"G",78,215,"Bradley University"
"Jabari Parker",2015,2017,3,1995-03-15,"F",80,250,"Duke University"
"Smush Parker",2003,2008,6,1981-06-01,"G",76,190,"Fordham University"
"Sonny Parker",1977,1982,6,1955-03-22,"F-G",78,200,"Texas A&M University"
"Tony Parker",2002,2018,17,1982-05-17,"G",74,185,"No College"
"Barry Parkhill",1974,1976,3,1951-05-10,"G",76,185,"University of Virginia"
"Jack Parkinson",1950,1950,1,1924-03-04,"G",72,174,"University of Kentucky"
"Charles Parks",1969,1969,1,,"F",77,210,"Idaho State University"
"Cherokee Parks",1996,2004,9,1972-10-11,"C-F",83,235,"Duke University"
"Richard Parks",1968,1968,1,1943-10-28,"F",79,235,"Saint Louis University"
"Jack Parr",1959,1959,1,1936-03-13,"C",81,220,"Kansas State University"
"Doyle Parrack",1947,1947,1,1921-12-06,"F-G",72,165,"Oklahoma State University"
"Charlie Parsley",1950,1950,1,1925-10-13,"G",74,175,"Western Kentucky University"
"Chandler Parsons",2012,2018,7,1988-10-25,"F",82,230,"University of Florida"
"Zarko Paspalj",1990,1990,1,1966-03-27,"F",81,215,"No College"
"Marty Passaglia",1947,1949,3,1919-04-22,"G",73,170,"Santa Clara University"
"George Pastushok",1947,1947,1,1922-07-13,"G",73,195,"St. John's University"
"Myles Patrick",1981,1981,1,1954-11-19,"F",80,220,"Auburn University"
"Stan Patrick",1950,1950,1,1922-05-05,"F-G",74,185,"University of Illinois at Urbana-Champaign"
"Andrae Patterson",1999,2000,2,1975-11-12,"F",81,238,"Indiana University"
"George Patterson",1968,1968,1,1939-11-26,"C-F",80,230,"University of Toledo"
"Lamar Patterson",2016,2017,2,1991-08-12,"G-F",77,225,"University of Pittsburgh"
"Patrick Patterson",2011,2018,8,1989-03-14,"F",81,230,"University of Kentucky"
"Ruben Patterson",1999,2008,10,1975-07-31,"F",77,224,"University of Cincinnati"
"Steve Patterson",1972,1976,5,1948-06-24,"C",81,225,"University of California, Los Angeles"
"Tom Patterson",1973,1974,2,1948-10-15,"F",78,220,"Ouachita Baptist University"
"Worthy Patterson",1958,1958,1,1931-06-17,"G",74,175,"University of Connecticut"
"Brandon Paul",2018,2018,1,1991-04-30,"G",76,200,"University of Illinois at Urbana-Champaign"
"Chris Paul",2006,2018,13,1985-05-06,"G",72,175,"Wake Forest University"
"Charlie Paulk",1969,1972,4,1946-06-14,"F-C",80,219,"Northeastern State University"
"Jerry Paulson",1958,1958,1,1935-07-21,"G",74,185,"Manhattan College"
"Billy Paultz",1971,1985,15,1948-07-30,"C-F",83,235,"St. John's University"
"Sasha Pavlovic",2004,2013,10,1983-11-15,"G-F",80,220,"No College"
"Jim Paxson",1957,1958,2,1932-12-19,"F-G",78,200,"University of Dayton"
"Jim Paxson",1980,1990,11,1957-07-09,"G-F",78,200,"University of Dayton"
"John Paxson",1984,1994,11,1960-09-29,"G",74,185,"University of Notre Dame"
"Johnny Payak",1950,1953,4,1926-11-20,"G-F",76,174,"Bowling Green State University"
"Adreian Payne",2015,2018,4,1991-02-19,"F-C",82,237,"Michigan State University"
"Cameron Payne",2016,2017,2,1994-08-08,"G",75,185,"Murray State University"
